Gene Id	Top hits (Family id,e-value,bitscore)
k141_1227_65	PF13656.7,2e-08,30.1
k141_1262_10	PF01496.20,9.5e-13,43.1
k141_1262_14	PF01990.18,7.7e-15,51.2
k141_1276_46	PF13685.7,4.3e-66,219.4
k141_1759_39	PF07541.13,4.1e-22,74.6
k141_2186_10	PF01015.19,3.1e-66,218.8
k141_2186_48	PF01280.21,4.5e-53,175.3
k141_2186_49	PF01655.19,2e-37,124.1
k141_2186_51	PF00410.20,7.9e-26,86.7
k141_2186_54	PF00900.21,1.4e-22,75.5
k141_2186_58	PF01868.17,3.3e-20,68.0
k141_2306_12	PF01090.20,1.3e-52,173.4
k141_2306_13	PF01984.21,1.2e-31,105.5
k141_2306_15	PF01198.20,1.2e-15,53.7
k141_2330_25	PF01000.27,9.7e-16,54.3
k141_2330_42	PF01866.18,5.1e-73,242.3
k141_2342_28	PF01864.18,1.8e-45,151.3
k141_2342_43	PF01798.19,1.1e-53,178.2
k141_2345_2	PF02006.17,8.1e-71,233.4
k141_2345_7	PF00466.21,1.2e-20,69.7
k141_2345_8	PF00687.22,9.6e-43,142.4
k141_2347_25	PF01025.20,2.8e-07,26.5
k141_2348_28	PF01191.20,8e-24,79.5
k141_395_11	PF02978.20,7e-34,112.7
k141_395_19	PF00368.19,3.9e-123,407.2
k141_574_19	PF01092.20,1.3e-38,128.0
k141_574_24	PF01200.19,3.9e-33,109.4
k141_677_6	PF01194.18,3.3e-31,103.6
k141_677_7	PF00380.20,2.7e-31,104.8
k141_855_15	PF01269.18,3e-70,232.0
k141_855_23	PF00827.18,1.4e-79,262.3
k141_855_28	PF04919.13,2.5e-54,180.1
k141_855_29	PF03874.17,5.1e-10,35.9
k141_855_30	PF01157.19,2.2e-34,113.5
k141_855_5	PF01025.20,4.9e-42,139.6
k141_868_14	PF04019.13,2e-32,107.5
k141_868_15	PF01282.20,1.4e-26,88.5
